=== S4.2 SCAN (stcp-cross-platform-001 / p0-07) ===
Path     : E:\My Github Projects\SystemTools\Actions
Scope    : Source
Time(UTC): 2026-09-03T15:59:43Z
[HIT-GATE] AdjustScreenBrightnessAction.cs | R07 | :5: | using System.Management;
[HIT-GATE] SimulateKeyboardAction.cs | R02 | :58: | PInvoke.keybd_event(action.KeyCode, 0, 0, UIntPtr.Zero);
[INFO] SimulateKeyboardAction.cs | I01 | :58: | PInvoke.keybd_event(action.KeyCode, 0, 0, UIntPtr.Zero);
[HIT-GATE] SimulateKeyboardAction.cs | R02 | :60: | PInvoke.keybd_event(action.KeyCode, 0,
[INFO] SimulateKeyboardAction.cs | I01 | :60: | PInvoke.keybd_event(action.KeyCode, 0,
[HIT-GATE] SimulateKeyboardAction.cs | R13 | :112: | //[DllImport("user32.dll", SetLastError = true)]
[HIT-GATE] SimulateKeyboardAction.cs | X04 | :112: | //[DllImport("user32.dll", SetLastError = true)]
[INFO] SimulateKeyboardAction.cs | I01 | :113: | //private static extern void keybd_event(byte bVk, byte bScan, uint dwFlags, UIntPtr dwExtraInfo);
[HIT-GATE] SimulateKeyCombinationAction.cs | R01 | :12: | using Windows.Win32;
[HIT-GATE] SimulateKeyCombinationAction.cs | R01 | :13: | using Windows.Win32.UI.Input.KeyboardAndMouse;
[HIT-GATE] SimulateKeyCombinationAction.cs | R02 | :48: | PInvoke.keybd_event(keyCode, 0, 0, UIntPtr.Zero);
[INFO] SimulateKeyCombinationAction.cs | I01 | :48: | PInvoke.keybd_event(keyCode, 0, 0, UIntPtr.Zero);
[HIT-GATE] SimulateKeyCombinationAction.cs | R02 | :64: | PInvoke.keybd_event(pressedKeys[i], 0, KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP, UIntPtr.Zero);
[INFO] SimulateKeyCombinationAction.cs | I01 | :64: | PInvoke.keybd_event(pressedKeys[i], 0, KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP, UIntPtr.Zero);
[HIT-GATE] SimulateMouseAction.cs | R01 | :13: | using Windows.Win32;
[HIT-GATE] SimulateMouseAction.cs | X06 | :38: | await ExecuteBatchFile("jinyongshubiao.bat", "禁用鼠标");
[HIT-GATE] SimulateMouseAction.cs | R02 | :57: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :57: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :64: | PInvoke.SetCursorPos(action.X, action.Y);
[HIT-GATE] SimulateMouseAction.cs | R02 | :66: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :66: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :70: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :70: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :78: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :78: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :85: | PInvoke.SetCursorPos(action.X, action.Y);
[HIT-GATE] SimulateMouseAction.cs | R02 | :87: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :87: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :91: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :91: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :99: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :99: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :106: | PInvoke.SetCursorPos(action.X, action.Y);
[HIT-GATE] SimulateMouseAction.cs | R02 | :108: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :108: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :112: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :112: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :120: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :120: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :127: | PInvoke.SetCursorPos(action.X, action.Y);
[HIT-GATE] SimulateMouseAction.cs | R02 | :129: | PInvoke.mouse_event(Windows.Win32.UI.Input.KeyboardAndMouse.MOUSE_EVENT_FLAGS.MOUSEEVENTF_WHEEL,
[INFO] SimulateMouseAction.cs | I02 | :129: | PInvoke.mouse_event(Windows.Win32.UI.Input.KeyboardAndMouse.MOUSE_EVENT_FLAGS.MOUSEEVENTF_WHEEL,
[HIT-GATE] SimulateMouseAction.cs | R02 | :136: | PInvoke.SetCursorPos(action.X, action.Y);
[HIT-GATE] SimulateMouseAction.cs | R02 | :138: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :138: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :145: | PInvoke.SetCursorPos(action.X, action.Y);
[HIT-GATE] SimulateMouseAction.cs | R02 | :151: | PInvoke.mouse_event(
[INFO] SimulateMouseAction.cs | I02 | :151: | PInvoke.mouse_event(
[HIT-GATE] SimulateMouseAction.cs | R02 | :164: | PInvoke.mouse_event(Windows.Win32.UI.Input.KeyboardAndMouse.MOUSE_EVENT_FLAGS.MOUSEEVENTF_LEFTUP,
[INFO] SimulateMouseAction.cs | I02 | :164: | PInvoke.mouse_event(Windows.Win32.UI.Input.KeyboardAndMouse.MOUSE_EVENT_FLAGS.MOUSEEVENTF_LEFTUP,
[HIT-GATE] SimulateMouseAction.cs | X06 | :179: | await ExecuteBatchFile("huifu.bat", "启用鼠标");
[HIT-GATE] SimulateMouseAction.cs | R13 | :247: | //[DllImport("user32.dll")] private static extern bool SetCursorPos(int X, int Y);
[HIT-GATE] SimulateMouseAction.cs | X04 | :247: | //[DllImport("user32.dll")] private static extern bool SetCursorPos(int X, int Y);
[HIT-GATE] SimulateMouseAction.cs | R13 | :248: | //[DllImport("user32.dll")] private static extern void mouse_event(uint dwFlags, int dx, int dy, uint dwData, UIntPtr dwExtraInfo);
[HIT-GATE] SimulateMouseAction.cs | X04 | :248: | //[DllImport("user32.dll")] private static extern void mouse_event(uint dwFlags, int dx, int dy, uint dwData, UIntPtr dwExtraInfo);
[INFO] SimulateMouseAction.cs | I02 | :248: | //[DllImport("user32.dll")] private static extern void mouse_event(uint dwFlags, int dx, int dy, uint dwData, UIntPtr dwExtraInfo);
[HIT-GATE] SleepAction.cs | R17 | :23: | FileName = "rundll32.exe",
[HIT-GATE] SwitchSystemAccentColorAction.cs | R05 | :4: | using Microsoft.Win32;
[HIT-GATE] SwitchSystemAccentColorAction.cs | R13 | :19: | [DllImport("user32.dll", SetLastError = true)]
[HIT-GATE] SwitchSystemAccentColorAction.cs | X04 | :19: | [DllImport("user32.dll", SetLastError = true)]
[HIT-GATE] SwitchThemeAction.cs | R05 | :4: | using Microsoft.Win32;
[HIT-GATE] TypeContentAction.cs | R01 | :11: | using Windows.Win32;
[HIT-GATE] TypeContentAction.cs | R01 | :12: | using Windows.Win32.Foundation;
[HIT-GATE] TypeContentAction.cs | R02 | :38: | PInvoke.keybd_event(VK_CONTROL, 0, 0, UIntPtr.Zero);
[INFO] TypeContentAction.cs | I01 | :38: | PInvoke.keybd_event(VK_CONTROL, 0, 0, UIntPtr.Zero);
[HIT-GATE] TypeContentAction.cs | R02 | :40: | PInvoke.keybd_event(VK_V, 0, 0, UIntPtr.Zero);
[INFO] TypeContentAction.cs | I01 | :40: | PInvoke.keybd_event(VK_V, 0, 0, UIntPtr.Zero);
